City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,antofagasta,-23.65,-70.4,16.6,68,38,2.0,CL,1690767047
1,kourou,5.1552,-52.6478,25.03,89,9,3.81,GF,1690767048
2,adamstown,-25.066,-130.1015,18.83,57,1,9.93,PN,1690766770
3,thunder bay,48.4001,-89.3168,18.95,68,100,1.54,CA,1690767048
4,margaret river,-33.95,115.0667,15.25,61,68,3.0,AU,1690767048
5,hermanus,-34.4187,19.2345,12.11,75,45,7.81,ZA,1690767049
6,telavi,41.9198,45.4731,17.28,86,60,1.02,GE,1690767049
7,brooks,50.5834,-111.8851,27.99,24,100,9.26,CA,1690766818
8,palikir - national government center,6.9248,158.1611,27.47,83,100,1.54,FM,1690766765
9,nar'yan-mar,67.6713,53.087,20.18,89,100,3.93,RU,1690767049
10,invercargill,-46.4,168.35,15.57,60,91,4.47,NZ,1690767000
11,laascaanood,8.4774,47.3597,21.65,76,63,13.02,SO,1690767050
12,waitangi,-43.9535,-176.5597,10.46,85,26,3.13,NZ,1690767051
13,arar,30.9753,41.0381,30.01,12,0,3.09,SA,1690766868
14,bereket,39.2446,55.5154,28.23,50,2,3.86,TM,1690767051
15,xichang,27.8964,102.2634,22.86,82,93,1.0,CN,1690767052
16,mason,39.3601,-84.3099,26.56,73,0,2.06,US,1690767053
17,aasiaat,68.7098,-52.8699,2.9,89,100,3.31,GL,1690767053
18,pimentel,-6.8367,-79.9342,23.16,68,0,5.66,PE,1690767053
19,vadso,70.0744,29.7487,11.09,93,100,1.03,NO,1690767053
20,bredasdorp,-34.5322,20.0403,9.77,82,33,6.0,ZA,1690767040
21,yellowknife,62.456,-114.3525,23.29,60,75,4.12,CA,1690766957
22,ta`u,-14.2336,-169.5144,27.08,77,99,4.55,AS,1690767054
23,utrik,11.2278,169.8474,28.28,79,99,7.95,MH,1690767054
24,tazovsky,67.4667,78.7,11.4,82,65,4.94,RU,1690767055
25,monrovia,6.3005,-10.7969,24.87,88,100,2.88,LR,1690766762
26,grand falls-windsor,48.9332,-55.6649,12.5,92,100,1.76,CA,1690767055
27,avarua,-21.2078,-159.775,26.03,94,75,5.14,CK,1690767055
28,kapa'a,22.0752,-159.319,30.18,71,20,6.17,US,1690767056
29,port-aux-francais,-49.35,70.2167,1.89,60,86,8.44,TF,1690767056
30,edinburgh of the seven seas,-37.0676,-12.3116,12.95,91,100,11.45,SH,1690767057
31,bilibino,68.0546,166.4372,7.06,88,100,1.36,RU,1690767057
32,grytviken,-54.2811,-36.5092,1.61,91,100,4.32,GS,1690766774
33,port mathurin,-19.6833,63.4167,23.34,70,78,9.26,MU,1690767057
34,west island,-12.1568,96.8225,24.99,83,100,6.17,CC,1690767057
35,san antonio de pale,-1.4014,5.6325,22.32,81,24,6.64,GQ,1690767058
36,kodiak,57.79,-152.4072,18.73,55,100,2.06,US,1690767058
37,berezovyy,51.6667,135.7,28.28,33,64,1.87,RU,1690767059
38,georgievka,49.3314,81.5761,24.85,51,5,1.51,KZ,1690767059
39,bergama,39.1207,27.1805,22.08,59,0,3.2,TR,1690767059
40,port alfred,-33.5906,26.891,10.66,67,47,3.13,ZA,1690767059
41,burao,9.5221,45.5336,21.96,65,6,11.11,SO,1690767060
42,hadibu,12.65,54.0333,25.64,82,72,10.71,YE,1690767060
43,iqaluit,63.7506,-68.5145,6.85,93,40,4.12,CA,1690767061
44,eyl,7.9803,49.8164,24.77,76,62,9.37,SO,1690767061
45,gadzhiyevo,69.2551,33.3362,12.45,92,2,0.51,RU,1690767062
46,umatilla,45.5001,-118.5014,26.41,25,0,0.0,US,1690767062
47,sirte,31.2089,16.5887,26.57,80,3,3.67,LY,1690767063
48,fomboni,-12.28,43.7425,25.03,75,88,5.55,KM,1690767063
49,egilsstadir,65.2653,-14.3948,7.95,93,75,2.57,IS,1690767064
50,uturoa,-16.7333,-151.4333,26.57,75,69,8.11,PF,1690767064
51,weno,7.4515,151.8468,28.72,67,14,2.78,FM,1690767064
52,newman,37.3138,-121.0208,38.19,36,100,1.79,US,1690767065
53,bubaque,11.2833,-15.8333,26.38,81,100,5.64,GW,1690767065
54,ilulissat,69.2167,-51.1,5.01,100,100,2.57,GL,1690767065
55,beboto,8.2668,16.939,21.91,96,100,1.64,TD,1690767066
56,papatowai,-46.5619,169.4708,12.72,62,100,3.22,NZ,1690767066
57,sechura,-5.5569,-80.8222,22.16,74,2,5.27,PE,1690767067
58,susuman,62.7833,148.1667,8.5,83,100,2.09,RU,1690767068
59,puerto natales,-51.7236,-72.4875,1.7,75,11,3.67,CL,1690767068
60,petropavlovsk-kamchatsky,53.0452,158.6483,14.33,88,75,6.0,RU,1690767068
61,khandyga,62.6667,135.6,17.02,58,49,2.71,RU,1690767069
62,chonchi,-42.6128,-73.8092,9.56,96,100,1.67,CL,1690767069
63,brasilia,-15.7797,-47.9297,20.51,49,0,2.06,BR,1690767069
64,rongelap,11.1635,166.8941,28.58,78,100,7.63,MH,1690767070
65,qaqortoq,60.7167,-46.0333,6.23,82,57,1.52,GL,1690767070
66,nemuro,43.3236,145.575,21.38,82,100,6.2,JP,1690766854
67,ust-nera,64.5667,143.2,8.72,91,100,3.76,RU,1690767071
68,awjilah,29.1081,21.2869,26.88,41,0,5.0,LY,1690767071
69,luanco,43.6152,-5.7934,19.15,91,11,1.6,ES,1690767071
70,aberdeen,57.1437,-2.0981,11.41,99,5,1.03,GB,1690767072
71,kaa-khem,51.6833,94.7333,26.0,36,2,0.82,RU,1690767072
72,stanley,54.868,-1.6985,13.17,94,40,1.03,GB,1690767072
73,college,64.8569,-147.8028,22.34,63,75,2.06,US,1690767072
74,inda silase,14.1031,38.2829,15.84,91,61,1.72,ET,1690767072
